http://www.zotero.org/styles/academy-of-management-review,Academy of Management Review,0363-7425,1930-3807,4,in-text,author-date,en-US,social_science
http://www.zotero.org/styles/acm-sig-proceedings-long-author-list,ACM SIG Proceedings ("et al." for 15+ authors),-,-,0,in-text,numeric,en-US,science|engineering
http://www.zotero.org/styles/acm-sig-proceedings,ACM SIG Proceedings ("et al." for 3+ authors),-,-,0,in-text,numeric,en-US,science|engineering
http://www.zotero.org/styles/acm-sigchi-proceedings-extended-abstract-format,ACM SIGCHI Proceedings - Extended Abstract Format,-,-,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/acm-sigchi-proceedings,ACM SIGCHI Proceedings (2016),-,-,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/acm-siggraph,ACM SIGGRAPH,-,-,0,in-text,author-date,en-US,engineering
http://www.zotero.org/styles/acs-nano,ACS Nano,1936-0851,1936-086X,0,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/acta-anaesthesiologica-scandinavica,Acta Anaesthesiologica Scandinavica,0001-5172,1399-6576,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-anaesthesiologica-taiwanica,Acta Anaesthesiologica Taiwanica,1875-4597,1875-452X,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-chirurgiae-orthopaedicae-et-traumatologiae-cechoslovaca,Acta chirurgiae orthopaedicae et traumatologiae Čechoslovaca,0001-5415,-,0,in-text,numeric,en-GB,medicine
http://www.zotero.org/styles/acta-naturae,Acta Naturae,2075-8251,-,0,in-text,numeric,en-US,biology
http://www.zotero.org/styles/acta-neurochirurgica,Acta Neurochirurgica,0001-6268,0942-0940,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-ophthalmologica,Acta Ophthalmologica,1755-375X,1755-3768,0,in-text,author-date,en-GB,medicine
http://www.zotero.org/styles/acta-palaeontologica-polonica,Acta Palaeontologica Polonica,0567-7920,1732-2421,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/acta-pharmaceutica-sinica-b,Acta Pharmaceutica Sinica B,2211-3835,2211-3843,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-pharmaceutica,Acta Pharmaceutica,1330-0075,1846-9558,0,in-text,numeric,en-US,biology
http://www.zotero.org/styles/acta-philosophica,Acta Philosophica,1121-2179,1825-6562,0,note,note,-,humanities
http://www.zotero.org/styles/acta-polytechnica,Acta Polytechnica,1210-2709,1805-2363,0,in-text,numeric,en-GB,engineering
http://www.zotero.org/styles/acta-psychiatrica-scandinavica,Acta Psychiatrica Scandinavica,0001-690X,1600-0447,0,in-text,numeric,en-GB,medicine
http://www.zotero.org/styles/acta-societatis-botanicorum-poloniae,Acta Societatis Botanicorum Poloniae,0001-6977,2083-9480,0,in-text,numeric,en-US,botany
http://www.zotero.org/styles/acta-universitatis-agriculturae-sueciae,Acta Universitatis Agriculturae Sueciae (Swedish University of Agricultural Sciences) (Swedish),-,-,0,in-text,author-date,sv-SE,
http://www.zotero.org/styles/addiction-biology,Addiction Biology,1355-6215,1369-1600,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/administrative-science-quarterly,Administrative Science Quarterly,0001-8392,1930-3815,0,in-text,author-date,en-US,social_science
http://www.zotero.org/styles/advanced-engineering-materials,Advanced Engineering Materials,1438-1656,1527-2648,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/advanced-functional-materials,Advanced Functional Materials,1616-301X,1616-3028,0,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/advanced-materials,Advanced Materials,0935-9648,1521-4095,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/advanced-optical-materials,Advanced Optical Materials,-,2195-1071,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/advances-in-alzheimers-disease,Advances in Alzheimer's Disease,2169-2459,2169-2467,0,in-text,numeric,-,medicine
http://www.zotero.org/styles/advances-in-complex-systems,Advances in Complex Systems,0219-5259,1793-6802,0,in-text,numeric,en-US,
http://www.zotero.org/styles/aerosol-science-and-technology,Aerosol Science and Technology,0278-6826,-,0,in-text,author-date,en-US,chemistry
http://www.zotero.org/styles/african-journal-of-emergency-medicine,African Journal of Emergency Medicine,-,2211-419X,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/african-zoology,African Zoology,1562-7020,2224-073X,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/aging-cell,Aging Cell,1474-9718,1474-9726,0,in-text,author-date,en-US,biology
http://www.zotero.org/styles/aging,Aging,-,1945-4589,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/aids,AIDS,0269-9370,1473-5571,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/aix-marseille-universite-departement-d-etudes-asiatiques,Aix-Marseille Université - Département d'études asiatiques (French),-,-,0,note,note,fr-FR,social_science
http://www.zotero.org/styles/alcoholism-clinical-and-experimental-research,Alcoholism: Clinical and Experimental Research,-,1530-0277,0,in-text,author-date,en-US,medicine
http://www.zotero.org/styles/alexandria-journal-of-medicine,Alexandria Journal of Medicine,2090-5068,2090-5076,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/allergology-international,Allergology International,1323-8930,1440-1592,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/allergy,Allergy,0105-4538,1398-9995,0,in-text,numeric,en-GB,medicine
http://www.zotero.org/styles/alternatives-to-animal-experimentation,Alternatives to Animal Experimentation,0946-7785,-,0,in-text,author-date,en-US,medicine
http://www.zotero.org/styles/ambio,AMBIO,0044-7447,1654-7209,0,in-text,author-date,en-US,biology
http://www.zotero.org/styles/ameghiniana,Ameghiniana,0002-7014,1851-8044,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/american-anthropological-association,American Anthropological Association,-,-,0,in-text,author-date,en-US,anthropology
http://www.zotero.org/styles/american-association-for-cancer-research,American Association for Cancer Research,-,-,9,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-association-of-petroleum-geologists,American Association of Petroleum Geologists,-,-,2,in-text,author-date,en-US,geology
http://www.zotero.org/styles/american-chemical-society-author-date,American Chemical Society (author-date),-,-,0,in-text,author-date,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-page-first,American Chemical Society (page-first),-,-,3,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-with-titles-doi-no-et-al,American Chemical Society (with titles and DOI, no "et al."),-,-,2,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-with-titles-no-et-al,American Chemical Society (with titles, no "et al."),-,-,12,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-with-titles-page-first,American Chemical Society (with titles, page-first),-,-,1,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-with-titles-sentence-case-doi,American Chemical Society (with titles and DOI, sentence case),-,-,5,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-with-titles-sentence-case,American Chemical Society (with titles, sentence case),-,-,4,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-with-titles,American Chemical Society (with titles),-,-,6,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society,American Chemical Society,-,-,12,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/american-fisheries-society,American Fisheries Society,-,-,6,in-text,author-date,en-US,biology
http://www.zotero.org/styles/american-geophysical-union,American Geophysical Union,-,-,20,in-text,author-date,en-US,geology
http://www.zotero.org/styles/american-heart-association,American Heart Association,-,-,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-institute-of-aeronautics-and-astronautics,American Institute of Aeronautics and Astronautics,-,-,7,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/american-institute-of-physics,American Institute of Physics,-,-,17,in-text,numeric,en-US,physics
http://www.zotero.org/styles/american-journal-of-agricultural-economics,American Journal of Agricultural Economics,0002-9092,1467-8276,0,in-text,author-date,en-US,science
http://www.zotero.org/styles/american-journal-of-archaeology,American Journal of Archaeology,0002-9114,1939-828X,0,note,note,en-US,anthropology
http://www.zotero.org/styles/american-journal-of-botany,American Journal of Botany,0002-9122,1537-2197,0,in-text,author-date,en-US,biology|botany|science
http://www.zotero.org/styles/american-journal-of-climate-change,American Journal of Climate Change,2167-9495,2167-9509,0,in-text,numeric,en-US,science
http://www.zotero.org/styles/american-journal-of-clinical-pathology,American Journal of Clinical Pathology,0002-9173,1943-7722,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-journal-of-epidemiology,American Journal of Epidemiology,0002-9262,1476-6256,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-journal-of-health-behavior,American Journal of Health Behavior,1945-7359,-,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-journal-of-medical-genetics,American Journal of Medical Genetics,-,-,0,in-text,author-date,en-US,biology
http://www.zotero.org/styles/american-journal-of-neuroradiology,American Journal of Neuroradiology,0195-6108,1936-959X,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-journal-of-orthodontics-and-dentofacial-orthopedics,American Journal of Orthodontics & Dentofacial Orthopedics,0889-5406,1097-6752,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-journal-of-plant-sciences,American Journal of Plant Sciences,2158-2742,2158-2750,0,in-text,numeric,en-US,biology
http://www.zotero.org/styles/american-journal-of-political-science,American Journal of Political Science,0092-5853,1540-5907,0,in-text,author-date,en-US,political_science
http://www.zotero.org/styles/american-journal-of-respiratory-and-critical-care-medicine,American Journal of Respiratory and Critical Care Medicine,1073-449X,1535-4970,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-journal-of-science,American Journal of Science,0002-9599,1945-452x,0,in-text,author-date,en-US,geology
http://www.zotero.org/styles/american-journal-of-surgical-pathology,American Journal of Surgical Pathology,0147-5185,1532-0979,0,in-text,numeric,en-US,medicine
